timestamp,Inquisitor's_armour_set,Arcane_spirit_shield,Arcane_sigil,Sanguinesti_staff_(uncharged),Dragon_hunter_lance,Dragon_claws,Craw's_bow_(u),3rd_age_kiteshield,3rd_age_full_helmet,3rd_age_robe,Gilded_scimitar,Gilded_armour_set_(lg),Anglerfish,Manta_ray,Shark,Magic_logs,Smoke_battlestaff,Anguish_ornament_kit,Tormented_ornament_kit,Occult_ornament_kit,Torture_ornament_kit
1619481600000,486018253,134526494,133502801,70289717,63374016,52784346,9869507,31368889,22454873,33710238,17885181,13991932,1487,1112,924,1017,1208502,6915668,3947984,3956701,5189274
1619568000000,486107379,134260285,131709269,70313118,64248776,53255014,9719714,32616779,22009551,33958475,17906476,13904011,1525,1106,928,1042,1202575,6916257,3832101,3846908,5183242
1619654400000,486744190,131497973,131709269,69313697,63631918,52586797,9627510,32616779,22009551,33958475,17906476,13904011,1567,1132,928,1041,1221969,7158515,3791767,3661419,5097824
1619740800000,487433811,131459053,131709269,69304670,63490297,52604377,9418582,33750609,22123650,33958475,17880812,13838870,1556,1103,972,1032,1240505,7281302,3839843,3590548,5099382
1619827200000,495349502,130818858,131709269,68971558,62868243,52474127,9427250,33750609,22123650,33669231,17617196,13898270,1577,1108,967,1016,1226116,7447329,3902746,3574335,5263541
1619913600000,498223905,130821356,131709269,69231704,62566339,52263610,9405203,34026760,21949120,33669231,17634526,13966294,1596,1104,952,1004,1211179,7532560,4067496,3725130,5490452
1620000000000,495986105,130551550,129655112,68994105,61719334,52392515,9529381,34026760,21949120,32166863,17574367,14180372,1572,1095,947,1010,1235626,7517430,4192913,3910939,5593471
1620086400000,502377951,129646645,129655112,68495548,61457277,52332681,9691081,34316984,21949120,32166863,17574367,14180372,1570,1110,950,1014,1250711,7617207,4188747,4017189,5645824
1620172800000,521023053,126505935,129655112,66672153,59845630,51691110,9593240,34316984,21814245,31559321,17594838,14388228,1547,1101,948,1012,1236487,7586071,4110038,4126231,5553276
1620259200000,528963518,121901601,129655112,64586665,58286758,50356492,9419911,35071819,21814245,31559321,17681165,14477447,1489,1095,934,1027,1269007,7399632,4072975,4049972,5307411
1620345600000,522026817,124052785,129655112,65889592,58825579,50866370,9535437,35071819,21923947,31897191,17822097,14512165,1431,1087,929,1025,1282537,7056854,4029968,3856226,5043107
1620432000000,502152641,119463763,129655112,65159842,57546238,50132880,9549439,36803946,22067272,31897191,17780246,14703647,1458,1103,925,1034,1271887,6905173,3859243,3781053,4815366
1620518400000,514977487,120841885,124112274,65566403,57562764,50237656,9546703,36803946,22067272,32121066,17780246,14703647,1530,1126,907,1032,1272245,6886375,3741955,3726946,4790773
1620604800000,520258693,119601372,124112274,65541179,58098922,50483090,9551477,38008123,22393328,32121066,17737810,14631316,1563,1095,864,1037,1258932,7088020,3895865,3822770,4959825
1620691200000,517811530,118985543,124112274,65232259,58305659,50472246,9704653,36558704,22559193,33076976,17766028,14582144,1548,1090,841,1044,1256767,7133756,3985219,3843050,4915830
1620777600000,517823893,119129973,124112274,65011323,58276113,50464592,9751345,36558704,22559193,33076976,17766028,14582144,1554,1121,836,1030,1256566,7081329,4013062,3891669,4818991
1620864000000,538983963,120571263,124112274,65414433,57931476,50486084,10080390,36395717,22567340,34625414,17728962,14569422,1546,1169,813,1018,1212848,7104801,4098488,3953561,4944535
1620950400000,558869251,120936773,124112274,65749534,57919044,51326693,10382061,36395717,22567340,34625414,17728962,14569422,1479,1228,792,1016,1229311,7165181,4229602,4086663,5157430
1621036800000,581263527,122079831,118889597,67231627,58378887,52424056,10221617,37144655,22695142,36251760,17676019,14528612,1520,1258,791,1017,1194682,7134576,4387280,4194813,5133469
1621123200000,580195355,123193380,118889597,68162225,58857805,53384727,10185423,37942959,22695142,36251760,17613111,14527213,1502,1218,790,1010,1182151,7301217,4526603,4392552,5248947
1621209600000,565538426,123728862,118889597,68361544,59206185,53583664,10099143,39698893,23447447,37927539,17589655,14535878,1509,1243,806,1015,1151587,7573628,4720351,4494527,5422019
1621296000000,570574115,124379326,121553525,68469525,59222308,53647992,10291576,41387399,24619820,39746746,17523741,14495347,1504,1276,829,1023,1144286,7568709,4927724,4719254,5377405
1621382400000,583487892,124239424,121553525,67858191,58915739,53300804,10268752,43154250,24619820,39746746,17523741,14495347,1492,1261,840,1023,1146025,7477859,5022389,4955217,5563503
1621468800000,583060770,122989173,121553525,67327100,58787584,52660293,10356855,45185213,25850811,41112848,17463767,14483758,1535,1297,842,1027,1159389,7417946,4894889,5046261,5519497
1621555200000,589120268,122582143,121553525,66866446,58765496,52302770,10582486,45185213,25850811,41112848,17353152,14483758,1588,1360,837,1025,1131121,7438215,4807743,4817793,5444715
1621641600000,599130836,122752312,121685428,66411793,58639673,52266926,10595038,47444474,25923084,39057205,17209432,14423082,1631,1416,862,1020,1132613,7565782,4798834,4979168,5617128
1621728000000,622276650,123274383,121685428,67010236,58866370,52445157,10583808,47444474,25923084,39057205,17206204,14423082,1638,1441,901,1009,1131613,7834773,4724160,5159345,5628933
1621814400000,622801682,122906842,121685428,67201016,59866129,52668801,10632358,47882070,25590038,37104344,17190426,14382908,1597,1403,917,1004,1121892,7908441,4806791,5216088,5653833
1621900800000,646775421,122543307,121685428,66358285,59961677,52694488,10684317,45620860,26421781,37104344,17111201,14358480,1615,1419,906,997,1104989,7679844,4779676,5169052,5552549
1621987200000,658254050,123185942,121922353,67067607,61043674,53299170,10977684,46576302,27272316,36636879,17152395,14383603,1619,1430,896,999,1087184,7521479,4693792,5084678,5558668
1622073600000,625819749,122643503,121922353,69504848,60742555,55155468,11177355,48556955,28554578,38342945,17102812,14383603,1605,1406,888,1003,1082839,7386172,4636124,5093832,5487007
1622160000000,615174982,123031093,121922353,72956343,60473040,55869729,11433170,48556955,28554578,38342945,17085925,14377541,1623,1394,882,1003,1092475,7367977,4611324,5011322,5400387
1622246400000,616424484,122807513,121922353,75152356,59980107,56407990,11829402,47121816,29838303,38424338,17006261,14377541,1610,1363,873,995,1066283,7304252,4517474,5131198,5465897
1622332800000,630212409,123642488,121893887,74683230,59894512,56037046,12336602,47121816,28424568,38424338,16917452,14408592,1653,1354,868,986,1090223,7413225,4619669,5084235,5551655
1622419200000,624581113,125392971,121893887,74333214,59918952,56066196,12886313,45144090,28424568,38398889,16808735,14408592,1727,1395,873,990,1077256,7412755,4706050,5046297,5678593
1622505600000,614178320,126041630,121893887,74079140,59829176,56175143,13520264,46336070,28583652,40164606,17118975,14422621,1722,1457,881,993,1082861,7280998,4681050,4967374,5513414
1622592000000,592468604,125854734,123950207,72057245,59731253,56476500,13541926,47916515,29843411,42005174,17045179,14422621,1665,1524,880,998,1083647,7250166,4630996,4990319,5451171
1622678400000,589073991,124526240,123950207,70679410,59425732,57400277,13106234,50005282,31161524,42005174,17042213,14536500,1648,1529,887,1010,1094849,7331417,4536608,4975532,5318233
